location_label,description,charger_type
Country Hotel & Suites,"184 Calle 42 Núm 184 entre 33 y 35, Colonia Centro, Valladolid, Yucatán 97780",charger
Ceiba de la Xtabay,"Calle 33 DiagonalNo. 224 INT. B X 33 Y 35 Colonia Poligono108 Itzimna, Merida, YUC 97143",charger
Chable Resort & Spa,"San Antonio Chable, Chochola, YUC 97816",charger
El Castellano Gamma Merida Centro Historico,"Calle 57 #513, 62 y 64 Centro, Merida, YUC 97000",charger
Fiesta Americana Merida,"Paseo Montejo No. 451 Centro, Merida, YUC 97000",charger
Hacienda Teya,"Carretera Merida Peto suarez km 12.5 Hacienda Teya, Merida, YUC 97370",charger
Hotel Mision Merida Panamericana,"Calle 59 455 x 52 y 54, Centro, Merida, YUC 97000",charger
Plaza Altabrisa,"Calle 7 452 Por 20 y 22 Frac. Altabrisa, Merida, Yucatán 97130",charger
The Harbor Merida,"Ricardo el Vate Lopez Mendez 61 Zona Industrial, Merida, YUC 97180",charger
Urban Center Merida,"Avenida Camara de Comercio 174 Monterreal, M├⌐rida, YUC 97133",charger
Fiesta Inn Zacatecas,"Calzada Heroes de Chapultepec km 13 + 200 La Escondida, Zacatecas, Zacatecas 98160",charger
Hotel Baruk Teleferico,"Paseo Diaz Ordaz 602 Zacatecas Centro, Zacatecas, Zacatecas 98000",charger
Mision Zacatecas,"Av. Hidalgo 407 Zacatecas Centro, Zacatecas, Zacatecas 98000",charger
Spa Hacienda Baruk,"Blvd. Heroes de Chapultepec 801 La Escondida, Zacatecas, Zacatecas 98054",charger
"Aguascalientes, AGS","Km. 11 Carr. Panamericana, Aguascalientes, Aguascalientes 20349",super_charger
"Ensenada, BCS","Km.103 #3421 Zona Playitas, Ensenada, Baja California 22860",super_charger
"Chihuahua, CH","5915 Perif. de la Juventud, Chihuahua, Chihuahua 31216",super_charger
"Ramos Arizpe, Coah","Carr. Monterrey - Saltillo 25000-b, Ramos Arizpe, Coahuila 25900",super_charger
"Santa Fe, CDMX","200 Avenida Vasco de Quiroga, Alvaro Obregón, Ciudad de México 45620",super_charger
"Cuencame, DGO","Autopista Torreón – Yerbaniz Km. 144 975, Cuencame, Durango 35834",super_charger
"Atizapan de Zaragoza, EM","255 Av. Adolfo Ruiz Cortines, Ciudad López Mateos, Estado de Mexico 52977",super_charger
"Temascalcingo, MEX","km. 118 Temascalcingo de José María Velasco, Temascalcingo de José María Velasco, Estado de México 50400",super_charger
"San Luis de la Paz, GTO","km 87.740 México 57, San Luis de la Paz, Guanajuato 37900",super_charger
"Silao, GUA","105 GTO Puerto Interior, De La Paz, Silao, Guanajuato 36275",super_charger
"Chilpancingo de los Bravo, GRO","130 René Juárez Cisneros, Chilpancingo, Guerrero 39010",super_charger
"Tepatitlan, JAL.","325 Av. S.S. Juan Pablo II, Tepatitlán de Morelos, Jalisco 47670",super_charger
"Zapopan, JAL","4965 Blvrd Puerta de Hierro, Zapopan, Jalisco 45116",super_charger
"Acapulco, GRO","Blvd de las Naciones 52 Granjas del Marqués, Acapulco, Guerrero 39890",super_charger
"Compostela, NYR","63718 Puerto Vallarta - Tepic, Compostela, Nayarit 63700",super_charger
"Durango, DG","#2019 Blvd Francisco, Villa Predio Tayafe, Durango, Durango 34220",super_charger
"Mazatlan, SIN","KM 25 Libramiento Mazatlán, Villa Unión, Sinaloa 82210",super_charger
"Mérida, YUC","185 Av. Andrés García Lavín, Merida, Yucatán 97117",super_charger
"Mexico City South, CDMX","4690 Anillo Perif., Insurgentes Cuicuilco, Mexico City, Federal District 04500",super_charger
"Puerto Vallarta, JAL","2485 Av Francisco Ascencio, Puerto Vallarta, Jalisco 48333",super_charger
"Valle de Bravo, Mex","6 Avenida Fontanas No. 6, Avandaro, Mexico State 51200",super_charger
"Villa Ahumada, CH","713 Av. Miguel Ahumada s/n,, Villa Ahumada, Chihuahua 32800",super_charger
"Morelia, Mich.","No. 303 Ave. Francisco J Mujica No. 303,, Morelia - Acambaro, Michoacan 58920",super_charger
"Cuernavaca, MOR","Km. 87.5 Tulipán Hawaiano, Cuernavaca, Morelos 62370",super_charger
"San Pedro Garza Garcia, NL","555 Río Missouri, San Pedro Garza García, Nuevo León 66220",super_charger
"China, NL","Km 98.5 Autopista Cadereyta-Reynosa, China, Nuevo Leon 67050",super_charger
"San Francisco Ocotlán, PUE","Autopista México Puebla Km 115, San Francisco Ocotlán, Puebla 72680",super_charger
"San Juan Del Río, QRO","202 Avenida Carretera Panamericana Poniente, San Juan del Rio, Querétaro 76800",super_charger
"Cancún, QRO","SM 46 Carr. Cancún, Cancun, Querétaro 77560",super_charger
"Matehuala, SLP","57 Tramo Matehuala-Saltillo KM. 11 + 385.49, Matehuala, San Luis Potosi 78746",super_charger
"Villa Hidalgo, SLP","78973 Villa de Hidalgo, San Luis Potosi, Villa Hidalgo, San Luis Potosi 78960",super_charger
"Santa Ana, SON","901 5 de Mayo, La Loma, Santa Ana, Sonora 84600",super_charger
"Valladolid, YUC","KM 152+700 Autopista Mérida-Cancún, Valladolid, Yucatán 97780",super_charger
