location_label,description,charger_type
Plaza Tlalne Fashion Mall,"Avenida Sor Juana Ines de La Cruz 280 San Lorenzo Industrial, San Lorenzo, Tlalnepantla, MEX 54033",charger
The Italian Coffee Company,"Autopista Mexico-Puebla Km. 38 + 200 Col. Basana Canutillo, Ixtapaluca, MEX 56643",charger
TK Terraza Grill,"Calle Fuente de Trevi 4 Lomas de Tecamachalco, Naucalpan de Juarez, MEX 53900",charger
Walmart Alfredo del Mazo,"Blvd Alfredo del Mazo 503 Jardines de Tlacopa, Toluca de Lerdo, MEX 50071",charger
Walmart Jesus Del Monte,"Interlomas 5 Bosque de las Palmas, Huixquilucan de Degollado, MEX 52779",charger
Walmart Satelite,"Cto Centro Comercial 19 Cd. Satelite, Naucalpan de Juarez, MEX 53100",charger
Walmart Nino Obrero,"Av. Nino Obrero 1551 Cd del Sol, Zapopan, Guadalajara 45050",charger
Aloft Celaya,"Eje Nor-Oriente Luis Donaldo Colosio Numero 177 Predio Rustico Santa Rosalia, Celaya, GUA 38080",charger
El Palacio del Tiempo - Corralejo,"Km., Irapuato 40 Luis Donaldo Colosio Murrieta, Santa Ana Pacueco, GUA 36660",charger
Fiesta Inn Celaya,"Carr. Panamericana Km. 5 S/N Quinta Bugambilias, Celaya, GUA 38060",charger
Fiesta Inn Leon,"Boulevard Adolfo Lopez Mateos Oriente 2702 Jardines de Jerez, El Desagae, GUA 37530",charger
Fiesta Inn Loft Irapuato,"Paseo del Atardecer 152 Villas de Irapuato, Irapuato, GUA 36670",charger
G100 Guanajuato,"Plaza Gto Puerto Interior De La Paz 102, Lopez Mateos, Silao, GUA 36275",charger
Hacienda Corralejo,"Ex Hacienda Corralejo SN Estacion Corralejo, Penjamo, GUA 36921",charger
Hampton Inn & Suites by Hilton Salamanca Bajio,"km 100 + 500, Mexico 45 San Vicente de flores, Salamanca, GUA 36875",charger
Hampton Inn by Hilton Leon,"Boulevard Adolfo Lopez Mateos 1717 Colonia Los Gavilanes, Leon, GUA 37270",charger
Hampton Inn Irapuato,"Boulevard Lazaro Cardenas 4210 Residencial Campestre, Irapuato, GUA 36698",charger
Hotel Mision Comanjilla,"Congregacion Comanjilla Rancho Agua Caliente, Silao, GUA 36270",charger
Hotel One Celaya,"Carretera Km. 5 s/n Panamericana, Celaya, GUA 38060",charger
MAC Celaya,"Ave. Ferrocarril Central 709 Los Laureles, Celaya, GUA 38020",charger
Mision Grand Casa Colorada,"Cerro de San Miguel 13 Lomas de Pozuelos, Guanajuato, GUA 3600",charger
One Irapuato,"Paseo de la Altiplanicie no. 11 Fracc.Villas de Irapuato, Irapuato, GUA 36670",charger
Plaza Cibeles,"Av Mariano J. Garcia 1443 Quinta las Villas, Irapuato, GUA 36643",charger
Plaza La Luciernaga,"Boulevard Jose Manuel Zavala Z. 165 La Luciernaga, San Miguel de Allende, GUA 37745",charger
Rosewood San Miguel de Allende Mexico,"Calle Nemesio Diez #11 Zona Centro, San Miguel de Allende, GUA 37700",charger
"Supermercados Internacionales HEB, S.A. de C.V. Leon","Blvd. Cerro Gordo del Campestre #401 Col. Lomas del Campestre, Leon, GUA 37150",charger
Torre Nebra,"Av Cerro Gordo 414 Centro Comercial, Leon, GUA 37120",charger
100% Natural - Diamante,"Boulevard de las Naciones 1 Granjas del Marques, Acapulco, GRO 39890",charger
Banyan Tree Acapulco,"Boulevard Cabo Marques Lte. 1 Punta Diamante, Acapulco, GRO 39907",charger
Encanto Acapulco,"Jacques Cousteau No 51 Col Brisas del Marques, Acapulco, GRO 39390",charger
Fiesta Americana Acapulco,"Avenida Costera Miguel Aleman 97 Fracc. Club Deportivo, Acapulco, GRO 39690",charger
Galerias Diana,"Av Costera Miguel Alem├ín 1926, Magallanes, Acapulco, GRO 39670",charger
Hotel One Acapulco,"Av. Costera Miguel Aleman 16 Costa Azul, Acapulco, GRO 39850",charger
