location_label,description,charger_href,charger_type,lat,lon
City Express Suites Queretaro,"Av. 5 de Febrero 9852 Las Campanas, Queretaro, QUE 76120",https://www.tesla.com/findus/location/charger/dc29518,charger,20.5891686,-100.4130989
Club de Golf El Campanario,"Av. el Campanario 100 El Campanario, Santiago de Queretaro, QUE 76146",https://www.tesla.com/findus/location/charger/dc45106,charger,20.6157493,-100.357308
Fiesta Inn Queretaro,"Av. 5 de Febrero #108 Ninos Heroes, Queretaro, QUE 76010",https://www.tesla.com/findus/location/charger/dc20450,charger,20.5859315,-100.4113723
Four Points by Sheraton Queretaro Norte,"Carretera San Luis Potosi #13001 El Salitre, Queretaro, QUE 76127",https://www.tesla.com/findus/location/charger/dc29157,charger,20.6585068,-100.4323126
Hilton Garden Inn Queretaro,"Ignacio Zaragoza 99 Centro, Queretaro, QUE 76180",https://www.tesla.com/findus/location/charger/dc26270,charger,20.5905126,-100.386006
Hotel Mision Juriquilla Queretaro,"Boulevard Villas del Meson No. 56 Juriquilla, Queretaro, QUE 76230",https://www.tesla.com/findus/location/charger/dc29873,charger,20.6961409,-100.4400292
Los Cochinitos Queretaro,"Carretera Mexico-Queretaro km. 152 Puerta de Palmillas, San Juan del Rio, QUE 76837",https://www.tesla.com/findus/location/charger/dc39532,charger,20.3136137,-99.9312697
Mision San Gil,"Carretera Mexico-Queretaro Km. 172 La Estancia, San Juan del Rio, QUE 78821",https://www.tesla.com/findus/location/charger/dc25337,charger,20.4264179,-100.0556525
Paseo Santiago,"Paseo de la Garza 87 Santa Fe, Corregidora, QUE 76900",https://www.tesla.com/findus/location/charger/dc17484,charger,20.5901086,-100.4469982
Fiesta Americana Condesa Cancun,"Blvd. Kukulkan km 16.5 Zona Hotelera, Cancun, ROO 77500",https://www.tesla.com/findus/location/charger/dc18547,charger,21.0723711,-86.7790702
Fiesta Inn Playa del Carmen,"10 Avenida Norte 325 Gonzalo Guerrero, Playa del Carmen, ROO 77710",https://www.tesla.com/findus/location/charger/dc23420,charger,20.637157,-87.066103
Grand Fiesta Americana Coral Beach Cancun,"Blvd. Kukulkan Km 9.5 Zona Hotelera, Cancun, ROO 77500",https://www.tesla.com/findus/location/charger/dc18545,charger,21.1382025,-86.7460212
Live Aqua Boutique Resort Playa del Carmen,"Calle Quinta Avenida Playa del Carmen, Playa del Carmen, ROO 77710",https://www.tesla.com/findus/location/charger/dc23419,charger,20.6338404,-87.067342
Live Aqua Cancun,"Blvd. Kukulcan Km.12.5 Zona Hotelera, Cancun, ROO 77500",https://www.tesla.com/findus/location/charger/dc18544,charger,21.1561557,-86.8200911
Westin resort and Spa Cancun,"Blvd. Kukulcan KM 20 Zona Hotelera, Cancun, ROO 77500",https://www.tesla.com/findus/location/charger/dc17456,charger,21.0393878,-86.782182
El Cid Castilla Beach,"Avenida Camaron Sabalo Zona Dorada, Mazatlan, SIN 82110",https://www.tesla.com/findus/location/charger/dc33959,charger,23.2515068,-106.4553615
El Cid Marina Beach,"Avenida Camaron Sabalo S/N, Mazatlan, SIN 82110",https://www.tesla.com/findus/location/charger/dc33960,charger,23.2515068,-106.4553615
Hotel Mision Mazatlan,"Av Camaron Sabalo 1927 Sabalo Country Club, El Encanto, Mazatlan, SIN 82110",https://www.tesla.com/findus/location/charger/dc29874,charger,23.2591668,-106.463237
Fiesta Inn Villahermosa Cencali,"Benito Juarez Garcia 105 Loma Linda, Villahermosa, TAB 86050",https://www.tesla.com/findus/location/charger/dc20707,charger,17.995444,-92.9398527
Estacionamiento Yamel,"Calle 1 16 Centro, Cordoba, VER 94500",https://www.tesla.com/findus/location/charger/dc47581,charger,18.8955988,-96.9340801
Hotel Galeria Plaza Veracruz,"Blvd. Adolfo Ruiz Cortines #3495 Mocambo, Boca del Rio, VER 94294",https://www.tesla.com/findus/location/charger/dc23558,charger,19.1389215,-96.1052131
